lab_ID,334,229,226,225,234,227,242,245,214,191,252,244,240,-,-,-,-,-,-,338,339,335,342,341,328,-,-,-,-,-,309,343,345,344,350,-,356,351,346,323,324,327,253,237,219,310,269,220,291,192,193,207,222,190,206,205,250,216,215,213
sample,UP68,D11,D8,D7,D16,D9,UP22,UP25,UP8,UP2,UP32,UP24,UP20,GSUT,GSUB,GSLT,GSLB,GSBEDLOAD,GSSIDE,UP77,UP78,UP69,UP84,UP82,UP62,UP71,UP74,UP79,UP81,UP76,UP56,D55,D57,D56,D65,D71,D70,D64,D58,D50,D51,D54,UP33,UP17,UP13,UP57,UP34,UP14,UP48,UP3,UP4,D4,D3,UP1,D2,D1,UP30,UP10,UP9,UP7
sediment (mg),0.0016,0.0007,0.003,0.0046,0.001,0.002,0.001,0.0012,0.0021,-,-,0.0008,0.0025,-,-,-,-,-,-,0.0001,0.0008,0.0039,-,0.0001,0.003,-,-,-,-,-,0.0019,0.0031,0.0009,0.0015,0.0031,-,0.001,0.0019,0.0027,0.0063,0.0027,0.0009,0.0024,0.0007,0.0006,0.0063,0.001,0.0008,0.001,-,-,0.0019,0.0017,-,0.003,0.0044,0.0013,0.0013,0.0036,0.0043
SSC (mg/L),10.667,3.5,15,23,6.25,10,6.67,8,11.053,-,-,5.333,17.857,-,-,-,-,-,-,0.714,5.714,24.375,-,0.667,20,-,-,-,-,-,12.667,22.143,6.429,10,20.667,-,7.143,11.875,18,42,17.419,6,15,4.667,6,45,7.143,8.889,6.667,-,-,9.5,8.947,-,15,23.158,8.667,6.5,18,21.5
D50,54.92,57.345,78.83,47.095,49.8,68.87,80.92,59.21,66.14,51.72,59.13,65.03,75.8,74.30333333,62.445,78.205,62.12,77.5475,67.07,30.57,26.82,49.95,50.42,44.19,87.02,36.2,133.34,113.11,93.39,79.66,79.88,102.87,76.46,68.71,86.67,86.2,50.79,71.05,78.58,74.05,79.16,58.66,48.05,58.21,38.82,53.17,25.35,52.1,47.98,91.46,58.71,66.54,68.435,81.8,45.328,74.67,69.81,47.14,57.16,56.03
datetime,5/3/2023 14:00,4/19/2023 12:30,4/18/2023 21:30,4/18/2023 16:30,4/21/2023 9:30,4/19/2023 2:30,4/22/2023 5:30,4/22/2023 20:30,4/18/2023 21:30,4/17/2023 20:30,4/24/2023 12:00,4/22/2023 15:30,4/21/2023 19:30,4/13/2023 18:40,4/13/2023 18:40,4/13/2023 18:40,4/13/2023 18:40,4/17/2023 17:30,4/17/2023 17:30,5/4/2023 20:00,5/4/2023 23:00,5/3/2023 20:00,5/5/2023 17:00,5/5/2023 11:00,5/1/2023 20:00,5/4/2023 2:00,5/4/2023 11:00,5/5/2023 2:00,5/5/2023 8:00,5/4/2023 17:00,4/30/2023 13:00,5/1/2023 20:00,5/2/2023 10:00,5/2/2023 3:00,5/3/2023 20:00,5/5/2023 2:00,5/4/2023 23:00,5/4/2023 2:00,5/2/2023 17:00,4/30/2023 18:00,4/30/2023 23:00,5/1/2023 14:00,4/24/2023 17:00,4/20/2023 23:30,4/19/2023 22:30,4/30/2023 18:00,4/24/2023 22:00,4/20/2023 3:30,4/28/2023 16:00,4/18/2023 0:30,4/18/2023 4:30,4/18/2023 4:30,4/18/2023 0:30,4/17/2023 16:30,4/17/2023 20:30,4/17/2023 16:30,4/24/2023 2:00,4/19/2023 7:30,4/19/2023 2:30,4/18/2023 16:30
volconc (uL/L),39.62,56.59,45.42,78.71,36.31,74.76,51.68,63.53,53.79,79.55,46.75,57.56,67.12,106.31,115.21,118.68,73.11,110.62,109.99,25.17,22.78,87.1,30.81,25.61,64.14,26.28,35.26,99.55,40.12,72.78,43.66,44.99,31.62,35.73,68.76,77.49,33.08,50.92,25.42,63.56,85.89,50.13,27.12,24.91,22.36,85.5,14.59,30.84,74.69,73.67,48.9,48.47,59.16,116.8,51.23,106.21,66.59,40.96,47.58,93.48
0.37,0.000479556,0.000295989,0.000264201,0.00044467,0.000302947,0.00024077,0.000135449,0.000236109,0.000390407,0.000276556,0.000213904,0.000243224,0.000238379,0.000253974,0.000329832,0.000286485,0.000355629,0.000289279,0.00020911,0.000675407,0.000746269,0.000585534,0.00064914,0.000624756,0.000249454,0.000799087,0.000340329,0.000140633,0.000274177,0.000261061,0.000137426,0.000222272,0.000347881,0.000195914,0.000363583,0.000361337,0,0.000235664,0.000275374,0.000424795,0.00029107,0.00031917,0.000589971,0.000521879,0.000581395,0.000549708,0.001028101,0.00042153,0.000107109,8.14E-05,0.000184049,0.000185682,0.00015213,0.000222603,0.000195198,0.000244798,6.01E-05,0.000244141,0.00023119,0.000310227
0.44,0.000530035,0.000309242,0.000286218,0.00047008,0.000302947,0.000254147,0.000154799,0.000236109,0.000408998,0.000289126,0.000256684,0.000243224,0.000253278,0.000263381,0.000338512,0.000294911,0.000369307,0.000298319,0.000218202,0.000715137,0.000746269,0.000619977,0.000681597,0.00070285,0.000296227,0.00087519,0.00036869,0.000160723,0.000324028,0.000288541,0.00016033,0.000266726,0.000411132,0.000223901,0.00039267,0.000387147,0,0.000255302,0.000314713,0.000456262,0.000314356,0.000359066,0.000663717,0.000562023,0.000626118,0.000608187,0.001165182,0.000453956,0.000107109,9.50E-05,0.000204499,0.000206313,0.000185936,0.000239726,0.000214718,0.000263629,7.51E-05,0.000244141,0.000252207,0.000342319
0.52,0.000580515,0.000318077,0.000308234,0.000508195,0.000330487,0.000267523,0.000174149,0.00026759,0.000427589,0.000314268,0.000299465,0.000260598,0.000283075,0.000263381,0.000355872,0.000303337,0.000410341,0.000316398,0.000236385,0.000834327,0.000834065,0.000677382,0.000746511,0.000780945,0.000343,0.001065449,0.000453772,0.000200904,0.000398804,0.000329761,0.000229043,0.000333407,0.000506009,0.000307865,0.000450844,0.000425861,0,0.000314218,0.000354052,0.000503461,0.000360927,0.000418911,0.000737463,0.000642312,0.000670841,0.000701754,0.001370802,0.000486381,0.000133887,0.000108592,0.000224949,0.000226945,0.000219743,0.000273973,0.000253758,0.000282459,0.000105121,0.000268555,0.000273224,0.000374412
0.61,0.000656234,0.000335748,0.000374284,0.000546309,0.000385569,0.000280899,0.000212848,0.000299071,0.00046477,0.00035198,0.000363636,0.000277971,0.000327771,0.000272787,0.000364552,0.000320189,0.000451375,0.000343518,0.000254569,0.000993246,0.000877963,0.000769231,0.000843882,0.000859039,0.000436545,0.001331811,0.000567215,0.00025113,0.000548355,0.000398461,0.000297755,0.000422316,0.000664137,0.000391828,0.000538104,0.000490386,0,0.000392773,0.000472069,0.000566394,0.000419141,0.0005386,0.000884956,0.000762746,0.000760286,0.000842105,0.001713502,0.000583658,0.000160664,0.00013574,0.000286299,0.000288838,0.000270453,0.000316781,0.000312317,0.000310705,0.000135155,0.000292969,0.000294241,0.000406504
0.72,0.000757193,0.000362255,0.000418318,0.000609834,0.00044065,0.000307651,0.000270898,0.000346293,0.000520543,0.000389692,0.000427807,0.000312717,0.000387366,0.000282194,0.000390591,0.000345467,0.000506087,0.000370638,0.000281844,0.001191895,0.001009658,0.000861079,0.000941253,0.001015228,0.000561272,0.001674277,0.000737379,0.000341537,0.000772682,0.000494641,0.000435181,0.000577906,0.000885515,0.000587741,0.000639907,0.00055491,0,0.000510605,0.000629426,0.00064506,0.00050064,0.000678237,0.001106195,0.000883179,0.000894454,0.00102924,0.002124743,0.000648508,0.00020083,0.000176463,0.000347648,0.000371364,0.000321163,0.000376712,0.000409916,0.000357782,0.000195225,0.000341797,0.000336276,0.000470689
0.85,0.000883392,0.000406432,0.000484368,0.000686063,0.000523272,0.000361156,0.000348297,0.000393515,0.000594906,0.000452546,0.000534759,0.000364837,0.000461859,0.000301006,0.00042531,0.000387597,0.000588155,0.000415838,0.000327302,0.001430274,0.001141352,0.000998852,0.001135995,0.001210465,0.00070159,0.002016743,0.000935905,0.000431944,0.000997009,0.000604562,0.000572607,0.000755723,0.00113852,0.000839631,0.000756254,0.000645245,0,0.000648075,0.000826121,0.000723726,0.000593783,0.000817874,0.001327434,0.001043758,0.001028623,0.00122807,0.002604524,0.000745785,0.000240996,0.000217185,0.000429448,0.000433258,0.000388776,0.000436644,0.000527035,0.000404858,0.000270311,0.000390625,0.000399327,0.000524176
1.01,0.00108531,0.000512458,0.000594452,0.000863931,0.000660975,0.000441413,0.000445046,0.000503699,0.000743633,0.000578253,0.000663102,0.000469076,0.000581049,0.000366852,0.000520788,0.000505561,0.000752291,0.000515278,0.000409128,0.001787843,0.001448639,0.001216992,0.001428108,0.001522843,0.000841908,0.002359209,0.001077708,0.000512305,0.001196411,0.000728222,0.000710032,0.000866859,0.001391524,0.001147495,0.000901687,0.000774293,0,0.000785546,0.001022817,0.000865324,0.000710211,0.00095751,0.001622419,0.001204336,0.001252236,0.001497076,0.003015764,0.000875486,0.000267773,0.000257907,0.000511247,0.000515783,0.000456389,0.000530822,0.000702713,0.000489596,0.00033038,0.000488281,0.000483396,0.000631151
1.19,0.001539626,0.000759852,0.000814619,0.001295896,0.000936381,0.000642055,0.000638545,0.000739808,0.001078267,0.000829667,0.000919786,0.000660181,0.000789631,0.000545574,0.000772502,0.000775194,0.001080564,0.000759356,0.000600055,0.002582439,0.002063213,0.001733639,0.002012334,0.00226474,0.001075772,0.00304414,0.001304594,0.000673029,0.001470588,0.000948063,0.00091617,0.001044677,0.001834282,0.001623286,0.001207097,0.001058201,0,0.00102121,0.001258851,0.001195721,0.000908138,0.001236784,0.002249263,0.001645925,0.001788909,0.002070175,0.004043866,0.001232166,0.000348106,0.000352925,0.000715746,0.000742727,0.000625423,0.000761986,0.00109311,0.000706148,0.000435501,0.000708008,0.000672551,0.000877193
1.4,0.00232206,0.001183955,0.001232937,0.002083598,0.001404572,0.00100321,0.000986842,0.001164804,0.001673173,0.001307354,0.001368984,0.000955525,0.001191895,0.000846581,0.001215172,0.001255477,0.001641362,0.001202314,0.000945541,0.004012714,0.003160667,0.002663605,0.002986043,0.003592347,0.001527908,0.004414003,0.001843449,0.000974385,0.002043868,0.001305304,0.001351351,0.001400311,0.002688172,0.002490904,0.001803374,0.001587302,0,0.001472899,0.001730921,0.001809314,0.001269065,0.001835228,0.00350295,0.002609394,0.002862254,0.003181287,0.006168609,0.001977951,0.000522158,0.000542962,0.001145194,0.001196616,0.000963489,0.001181507,0.001971501,0.001082761,0.000675777,0.001098633,0.001071879,0.001315789
1.65,0.002902574,0.001568298,0.001607221,0.002795071,0.00179014,0.001324238,0.001315789,0.0015898,0.002230898,0.001747329,0.00173262,0.001198749,0.001504768,0.001138181,0.001623123,0.001718908,0.002092737,0.001618152,0.001272843,0.005284068,0.003994732,0.003455798,0.003797468,0.004646622,0.001855316,0.0054414,0.002297221,0.001185334,0.002492522,0.001552624,0.001740724,0.00164481,0.003289058,0.003246572,0.002341478,0.002090592,0,0.001904949,0.002242329,0.002391441,0.001548492,0.002373828,0.004646018,0.003532718,0.004025045,0.004187135,0.007813571,0.002756161,0.000656045,0.000692276,0.001492843,0.001650505,0.001233942,0.001566781,0.002927972,0.001393466,0.000840967,0.001464844,0.001429172,0.001690201
1.95,0.003483089,0.001992401,0.001959489,0.003608182,0.002148169,0.001698769,0.001644737,0.002062018,0.002807213,0.002187304,0.002032086,0.0014246,0.00181764,0.00148622,0.002100512,0.002207617,0.002544112,0.00205207,0.001618329,0.006515693,0.004872695,0.004247991,0.004608893,0.005544709,0.002182725,0.006430746,0.002694271,0.001336012,0.003015952,0.001758725,0.002153,0.001822627,0.003826692,0.004086202,0.002894124,0.002632598,0,0.002376277,0.002714398,0.003099434,0.001816277,0.002972272,0.005899705,0.004456042,0.005545617,0.005192982,0.009527073,0.003761349,0.00080332,0.000868739,0.001881391,0.002248814,0.001538201,0.002011986,0.004040601,0.001751248,0.001006157,0.001855469,0.001807482,0.002043218
2.3,0.004215043,0.00265948,0.002575958,0.004738915,0.002946847,0.002340824,0.002321981,0.002880529,0.0036438,0.002853551,0.002652406,0.001893676,0.002324195,0.002031794,0.002803576,0.002864847,0.003228013,0.002684867,0.00214565,0.008184346,0.006101844,0.005269805,0.005582603,0.006794221,0.002775179,0.008066971,0.003488372,0.001627323,0.004012961,0.002088486,0.003000458,0.002289398,0.004807084,0.005429611,0.003723095,0.003393986,0.000181378,0.003220738,0.003737215,0.004059157,0.002200489,0.003909834,0.007522124,0.005740666,0.00773703,0.006409357,0.011446196,0.005058366,0.000963984,0.001180942,0.002535787,0.003218486,0.001994591,0.002619863,0.005602186,0.002212598,0.00132152,0.002636719,0.002437999,0.002567394
2.72,0.004745078,0.003057077,0.002862175,0.005628256,0.00311209,0.002742108,0.00249613,0.003368487,0.00410857,0.003218102,0.002780749,0.002032662,0.002577473,0.002483304,0.003385123,0.003294574,0.003679387,0.003136865,0.002527503,0.009376242,0.006848112,0.006142365,0.006231743,0.007692308,0.003227315,0.009360731,0.003942144,0.001757911,0.004985045,0.002294586,0.003618873,0.002489442,0.005249842,0.006269242,0.004319372,0.004026326,0.003355502,0.003809898,0.004130606,0.004955947,0.002503202,0.004847397,0.00899705,0.006784424,0.009794275,0.007578947,0.013228239,0.006420233,0.001071094,0.001384553,0.003087935,0.004085001,0.002366464,0.003236301,0.006910014,0.002636287,0.001501727,0.00300293,0.00273224,0.002920411
3.2,0.005451792,0.003808093,0.003544694,0.006860628,0.00399339,0.003517924,0.003270124,0.004328664,0.004926566,0.003909491,0.003465241,0.002588603,0.003158522,0.003198194,0.004209704,0.003892821,0.004472712,0.003814862,0.003145741,0.010885975,0.008121159,0.007118255,0.007205453,0.008863725,0.003991269,0.011605784,0.00490641,0.002059267,0.006555334,0.002706788,0.004970224,0.003067348,0.00626186,0.007668626,0.005221059,0.004826429,0.014721886,0.004850746,0.005428796,0.006057269,0.002945628,0.006124077,0.010840708,0.008269771,0.012388193,0.008736842,0.015078821,0.007846952,0.001218369,0.00171033,0.003865031,0.005219724,0.002873563,0.003938356,0.008374,0.003116467,0.001847124,0.003930664,0.003446826,0.003508772
3.78,0.006208985,0.004448666,0.004051079,0.00806759,0.004461581,0.004093098,0.003599071,0.004974028,0.005595836,0.004437461,0.003935829,0.002918694,0.003575685,0.003856646,0.005016926,0.004373104,0.005238681,0.004420539,0.003700336,0.012435439,0.009218613,0.008254879,0.008114249,0.010035143,0.004755223,0.014003044,0.00570051,0.002290306,0.008150548,0.003077769,0.006252863,0.003534119,0.007084124,0.008676182,0.006050029,0.005626532,0.025876663,0.005695208,0.006294256,0.007268722,0.003376412,0.007640136,0.012868732,0.01003613,0.015161002,0.010152047,0.017751885,0.009565499,0.001392422,0.001954663,0.004621677,0.006148133,0.003296146,0.004700342,0.009701347,0.003624894,0.002027331,0.004638672,0.00395124,0.004172015
4.46,0.007395255,0.005517759,0.004909731,0.009795452,0.005425503,0.005002675,0.004334365,0.006044388,0.006767057,0.005342552,0.004962567,0.003596247,0.004290822,0.004787884,0.0061453,0.005114594,0.006456025,0.005324534,0.004536776,0.01466031,0.010974539,0.009816303,0.00960727,0.011831316,0.005799813,0.017465753,0.007090187,0.002712205,0.010343968,0.00368233,0.008337151,0.004312069,0.008380772,0.010131542,0.007198953,0.006697638,0.018984281,0.006952082,0.007710464,0.008842039,0.004016766,0.009674845,0.015671091,0.012605379,0.018783542,0.011964912,0.02138451,0.011608301,0.001673584,0.002334736,0.005746421,0.007324118,0.003955375,0.00567637,0.011399571,0.004312212,0.002387746,0.005859375,0.004875998,0.005241763
5.27,0.008707723,0.006798904,0.005834434,0.011688477,0.006609749,0.005979133,0.005166409,0.00714623,0.008105596,0.006423633,0.006331551,0.004447533,0.00511025,0.005794375,0.007377832,0.005974048,0.007974285,0.006400289,0.005491408,0.017401669,0.013081651,0.011618829,0.01123012,0.013822725,0.00696913,0.021118721,0.008763471,0.00320442,0.012437687,0.004383072,0.01053596,0.005312292,0.009803922,0.011390988,0.008435137,0.007768744,0.012394196,0.008169678,0.009166011,0.010352423,0.004773548,0.011849192,0.018731563,0.015535929,0.022406082,0.014023392,0.025428376,0.013683528,0.002102022,0.002714809,0.007014315,0.008335053,0.004716024,0.006652397,0.013078274,0.005103098,0.002823247,0.007202148,0.00592686,0.00665383
6.21,0.010070671,0.008208164,0.006825187,0.013492568,0.007876618,0.006942215,0.005998452,0.008185109,0.009555679,0.007668133,0.007957219,0.005385685,0.005974374,0.006716207,0.008523566,0.00694304,0.009656682,0.007539324,0.006536958,0.020500596,0.015452151,0.013513203,0.01285297,0.015736041,0.007966947,0.023972603,0.010521838,0.003766951,0.013783649,0.005166254,0.012047641,0.006468104,0.011132195,0.012202631,0.009511344,0.008723706,0.014842805,0.009112333,0.010385523,0.011375079,0.005611829,0.013564732,0.021349558,0.017944601,0.024821109,0.016105263,0.029472241,0.015402075,0.002784844,0.003094883,0.008179959,0.008871467,0.005527383,0.007431507,0.014386102,0.00592223,0.003318817,0.00847168,0.007124842,0.008386821
7.33,0.011509339,0.00978088,0.00788199,0.015207725,0.00928119,0.007918673,0.006849845,0.009239729,0.011098717,0.009101194,0.009647059,0.006514941,0.006912992,0.007600414,0.009591181,0.008038423,0.01139379,0.008696438,0.007691608,0.023718713,0.017954346,0.015361653,0.014378449,0.017415072,0.008652947,0.025799087,0.0121384,0.004379709,0.01440678,0.006018137,0.01252863,0.007646144,0.012460468,0.012874335,0.010398487,0.009575429,0.021886336,0.009819324,0.011369001,0.011925739,0.006508325,0.014741672,0.023193215,0.01926937,0.025849732,0.018070175,0.033173406,0.016828794,0.003882715,0.003474956,0.009161554,0.009098411,0.006389452,0.008030822,0.015420652,0.006788438,0.003829404,0.009741211,0.00851198,0.010355156
8.65,0.013377082,0.011879307,0.009335095,0.017469191,0.011126411,0.009242911,0.007914087,0.010687864,0.012920617,0.010999371,0.011636364,0.007991661,0.008224076,0.008860879,0.010997309,0.009395012,0.013527561,0.010088592,0.009300846,0.027850616,0.021115013,0.017623421,0.016228497,0.019523624,0.009463673,0.028500761,0.013981849,0.005183325,0.01560319,0.00721352,0.01316995,0.009090909,0.014073371,0.014077806,0.011576498,0.010749774,0.021342201,0.010860173,0.012745869,0.012759597,0.007579462,0.016517056,0.025184366,0.020313127,0.027057245,0.020385965,0.037971213,0.018871595,0.005623243,0.004017918,0.010449898,0.00969672,0.007555781,0.008878425,0.016884638,0.007890029,0.004445112,0.011621094,0.010445565,0.01292255
